cod_ibge,nome_municipio,drs,rgi_codigo,rgi_nome,lat,lon
3520442,Ilha Solteira,II - Araçatuba,3506,Araçatuba,-20.431422306457385,-51.259037321117454
3520509,Indaiatuba,VII - Campinas,3510,Campinas,-23.106045115817412,-47.20253482024654
3520608,Indiana,XI - Presidente Prudente,3505,Presidente Prudente,-22.133177814414996,-51.26257556135281
3520707,Indiaporã,XV - São José do Rio Preto,3507,São José do Rio Preto,-19.947950393702737,-50.263657392138235
3520806,Inúbia Paulista,IX - Marília,3505,Presidente Prudente,-21.739059651166528,-50.95745663860372
3520905,Ipaussu,IX - Marília,3504,Marília,-23.065016533083295,-49.60809643169818
3521002,Iperó,XVI - Sorocaba,3502,Sorocaba,-23.404421180423,-47.629150087005634
3521101,Ipeúna,X - Piracicaba,3510,Campinas,-22.423918762119932,-47.71606424121714
3521150,Ipiguá,XV - São José do Rio Preto,3507,São José do Rio Preto,-20.648018289835655,-49.40353503621974
3521200,Iporanga,XII - Registro,3502,Sorocaba,-24.512692545232458,-48.546323609736845
3521309,Ipuã,VIII - Franca,3508,Ribeirão Preto,-20.417513860592095,-48.06650541212104
3521408,Iracemápolis,X - Piracicaba,3510,Campinas,-22.593714642276254,-47.524224575864025
3521507,Irapuã,XV - São José do Rio Preto,3507,São José do Rio Preto,-21.267718297657563,-49.39742750287388
3521606,Irapuru,XI - Presidente Prudente,3505,Presidente Prudente,-21.484268740315233,-51.34648739841656
3521705,Itaberá,XVI - Sorocaba,3502,Sorocaba,-23.871325875213714,-49.14244871706174
3521804,Itaí,VI - Bauru,3502,Sorocaba,-23.47142699874137,-49.054189712661106
3521903,Itajobi,XV - São José do Rio Preto,3507,São José do Rio Preto,-21.355571180932614,-49.05369015661689
3522000,Itaju,VI - Bauru,3503,Bauru,-21.951665399317008,-48.79399635544412
3522109,Itanhaém,IV - Baixada Santista,3501,São Paulo,-24.092235648446945,-46.8345463129875
3522158,Itaoca,XVI - Sorocaba,3502,Sorocaba,-24.617819211097917,-48.83896579511446
3522208,Itapecerica Da Serra,I - Grande São Paulo,3501,São Paulo,-23.737248362353334,-46.85888676806548
3522307,Itapetininga,XVI - Sorocaba,3502,Sorocaba,-23.645465998475085,-48.123260485527084
3522406,Itapeva,XVI - Sorocaba,3502,Sorocaba,-23.914064535041117,-48.87171575936796
3522505,Itapevi,I - Grande São Paulo,3501,São Paulo,-23.550936650494638,-46.96770186747751
3522604,Itapira,XIV - São João da Boa Vista,3510,Campinas,-22.431920957785152,-46.77208514899215
3522653,Itapirapuã Paulista,XVI - Sorocaba,3502,Sorocaba,-24.569030709947985,-49.22297089928672
3522703,Itápolis,III - Araraquara,3509,Araraquara,-21.54809624977248,-48.81545396991741
3522802,Itaporanga,VI - Bauru,3502,Sorocaba,-23.67290928144746,-49.458504519609164
3522901,Itapuí,VI - Bauru,3503,Bauru,-22.250848552711382,-48.70140210624797
3523008,Itapura,II - Araçatuba,3506,Araçatuba,-20.594986436491315,-51.440482108358346
3523107,Itaquaquecetuba,I - Grande São Paulo,3501,São Paulo,-23.461505396525645,-46.33394953515158
3523206,Itararé,XVI - Sorocaba,3502,Sorocaba,-24.08051779643405,-49.303550956702075
3523305,Itariri,XII - Registro,3501,São Paulo,-24.29262601228455,-47.128051264743355
3523404,Itatiba,VII - Campinas,3510,Campinas,-23.006660028218516,-46.814340963179475
3523503,Itatinga,VI - Bauru,3503,Bauru,-23.153608621694758,-48.629389154471184
3523602,Itirapina,X - Piracicaba,3509,Araraquara,-22.29457378702952,-47.834025219730876
3523701,Itirapuã,VIII - Franca,3508,Ribeirão Preto,-20.657589199087028,-47.16926239754503
3523800,Itobi,XIV - São João da Boa Vista,3510,Campinas,-21.749035897792414,-46.92197622212138
3523909,Itu,XVI - Sorocaba,3502,Sorocaba,-23.307126205544318,-47.28454368292206
3524006,Itupeva,VII - Campinas,3510,Campinas,-23.14657282429031,-47.06847541435026
3524105,Ituverava,VIII - Franca,3508,Ribeirão Preto,-20.329502857565416,-47.80955472498111
3524204,Jaborandi,V - Barretos,3508,Ribeirão Preto,-20.650028113273375,-48.415955618724304
3524303,Jaboticabal,XIII - Ribeirão Preto,3508,Ribeirão Preto,-21.21835379074203,-48.287927111934955
3524402,Jacareí,XVII - Taubaté,3511,São José dos Campos,-23.29889892394515,-45.990575700768474
3524501,Jaci,XV - São José do Rio Preto,3507,São José do Rio Preto,-20.945198976912028,-49.58114643468699
3524600,Jacupiranga,XII - Registro,3502,Sorocaba,-24.777310352007742,-48.053872371673215
3524709,Jaguariúna,VII - Campinas,3510,Campinas,-22.69199048747924,-47.01272313414685
